,TotalPopulation,Total Males By Age,Total Females by Age,state,county,tract,block group
504,1317,604,713,02,170,000102,1
505,788,496,292,02,170,000402,1
506,955,533,422,02,170,000502,2
507,1693,1172,521,02,170,000604,2
508,3649,1935,1714,02,170,001201,2
509,144,82,62,02,240,000400,4
510,2308,1188,1120,02,170,001001,1
511,799,397,402,02,020,000901,3
512,514,260,254,02,020,001900,4
513,823,347,476,02,020,001900,2
514,1147,578,569,02,020,000600,2
515,246,158,88,02,020,000600,1
516,1169,503,666,02,020,000600,6
517,1175,498,677,02,020,000702,2
518,2039,1002,1037,02,110,000600,2
519,1333,685,648,02,110,000200,4
520,1109,667,442,02,110,000200,1
521,733,324,409,02,110,000500,3
522,852,500,352,02,020,002811,3
523,957,465,492,02,020,002813,3
524,1146,575,571,02,020,000102,2
525,2215,1089,1126,02,020,000102,4
526,2075,1109,966,02,020,000203,4
527,361,166,195,02,150,000100,1
528,2921,1694,1227,02,150,000200,3
529,993,463,530,02,150,000300,2
530,818,451,367,02,188,000100,5
531,1358,811,547,02,110,000300,3
532,1298,669,629,02,110,000100,4
533,622,289,333,02,110,000100,1
